关键词,编码,品目名称,保留
感应热处理机床,A02050907,热处理设备,True
金属切割设备,A02050908,金属切割设备,True
数控气割设备,A02050908,金属切割设备,True
光电跟踪切割设备,A02050908,金属切割设备,True
普通气割设备,A02050908,金属切割设备,True
金属焊接设备,A02050909,金属焊接设备,True
埋弧焊机,A02050909,金属焊接设备,True
TIG 焊机,A02050909,金属焊接设备,True
MIG/MAG 焊机,A02050909,金属焊接设备,True
电渣焊机,A02050909,金属焊接设备,True
点焊机,A02050909,金属焊接设备,True
凸焊机,A02050909,金属焊接设备,True
缝焊机,A02050909,金属焊接设备,True
对焊机,A02050909,金属焊接设备,True
等离子电子束焊接设备,A02050909,金属焊接设备,True
超声波焊机,A02050909,金属焊接设备,True
电子束焊机,A02050909,金属焊接设备,True
光束焊机,A02050909,金属焊接设备,True
冷压焊机,A02050909,金属焊接设备,True
摩擦焊机,A02050909,金属焊接设备,True
钎焊机,A02050909,金属焊接设备,True
高频焊机,A02050909,金属焊接设备,True
电渣压焊机,A02050909,金属焊接设备,True
螺柱焊机,A02050909,金属焊接设备,True
碳弧气刨机,A02050909,金属焊接设备,True
金属表面处理设备,A02050910,金属表面处理设备,True
金属喷涂设备,A02050911,金属喷涂设备,True
粉末冶金设备,A02050912,粉末冶金设备,True
粉末冶金模,A02050912,粉末冶金设备,True
粉末冶金制品,A02050912,粉末冶金设备,True
通用工业窑炉,A02050913,通用工业窑炉,True
其他金属加工设备,A02050999,其他金属加工设备,True
塑料制品液压机,A02051000,塑料压制液压机,True
磁性材料液压机,A02051000,塑料压制液压机,True
超硬材料压制液压机,A02051000,塑料压制液压机,True
木碎料板,A02051100,成板机械,True
木纤维板的挤压机,A02051100,成板机械,True
人造板层压液压机,A02051100,成板机械,True
横截锯,A02051100,成板机械,True
起重设备,A02051200,起重设备,True
轻小型起重设备,A02051201,轻小型起重设备,True
起重用葫芦入此,A02051201,轻小型起重设备,True
桥式起重机,A02051202,桥式起重机,True
梁式起重机,A02051202,桥式起重机,True
吊钩桥式起重机,A02051202,桥式起重机,True
抓斗桥式起重机,A02051202,桥式起重机,True
电磁桥式起重机,A02051202,桥式起重机,True
二用桥式起重机,A02051202,桥式起重机,True
三用桥式起重机,A02051202,桥式起重机,True
门式起重机,A02051203,门式起重机,True
吊钩门式起重机,A02051203,门式起重机,True
抓斗门式起重机,A02051203,门式起重机,True
电磁门式起重机,A02051203,门式起重机,True
二用门式起重机,A02051203,门式起重机,True
三用门式起重机,A02051203,门式起重机,True
半门式起重机,A02051204,半门式起重机,True
浮式起重机,A02051205,浮式起重机,True
缆索起重机,A02051206,缆索起重机,True
架空索道,A02051206,缆索起重机,True
登山缆车归入“A02051314 架空索道输送设备”,A02051206,缆索起重机,True
门座式起重机,A02051207,门座式起重机,True
港口门座式起重机,A02051208,港口门座式起重机,True
塔式起重机,A02210300,工程起重机械,True
固定式塔式起重机,A02051209,塔式起重机,True
移动式塔式起重机,A02051209,塔式起重机,True
冶金起重机,A02051210,冶金起重机,True
铁路起重机,A02051211,铁路起重机,True
流动式起重机,A02051212,流动式起重机,True
甲板起重机,A02051213,甲板起重机,True
桅杆起重机,A02051214,桅杆起重机,True
悬臂起重机,A02051215,悬臂起重机,True
柱式悬臂起重机,A02051215,悬臂起重机,True
壁上起重机,A02051215,悬臂起重机,True
自行车式起重机,A02051215,悬臂起重机,True
平衡式起重机,A02051216,平衡式起重机,True
起重滑车,A02051217,起重滑车,True
单轮滑车,A02051217,起重滑车,True
双轮滑车,A02051217,起重滑车,True
三轮滑车,A02051217,起重滑车,True
起重葫芦,A02051218,起重葫芦,True
手动葫芦,A02051218,起重葫芦,True
电动葫芦,A02051218,起重葫芦,True
气动葫芦,A02051218,起重葫芦,True
绞车和绞盘,A02051219,绞车和绞盘,True
手动绞车,A02051219,绞车和绞盘,True
内燃机绞车,A02051219,绞车和绞盘,True
电动绞车,A02051219,绞车和绞盘,True
千斤顶,A02051220,千斤顶,True
齿条千斤顶,A02051220,千斤顶,True
液压千斤顶,A02051220,千斤顶,True
螺旋千斤顶,A02051220,千斤顶,True
悬挂单轨系统,A02051221,悬挂单轨系统,True
移动式吊运架,A02051222,移动式吊运架,True
跨运车,A02051223,跨运车,True
升船机,A02051224,升船机,True
滑模顶升机,A02051225,滑模顶升机,True
滑模液压顶升机,A02051225,滑模顶升机,True
起重用吊斗、铲、抓斗和夹钳,A02051226,起重用吊斗、铲、抓斗和夹钳,True
电梯维修和保养服务,C23120800,电梯维修和保养服务,True
载人电梯,A02051227,电梯,True
载货电梯,A02051227,电梯,True
载货两用电梯,A02051227,电梯,True
消防电梯,A02051227,电梯,True
自动扶梯,C23120800,电梯维修和保养服务,True
普通型自动扶梯,A02051228,自动扶梯,True
公共交通型自动扶梯,A02051228,自动扶梯,True
自动人行道,A02051229,自动人行道,True
踏板式自动人行道,A02051229,自动人行道,True
胶带式自动人行道,A02051229,自动人行道,True
其他起重设备,A02051299,其他起重设备,True
输送设备,A02051300,输送设备,True
带式输送机械,A02051301,带式输送机械,True
固定式带式输送机,A02051301,带式输送机械,True
移动带式输送机,A02051301,带式输送机械,True
移置带式输送机,A02051301,带式输送机械,True
大倾角带式输送机,A02051301,带式输送机械,True
钢丝牵引带式输送机,A02051301,带式输送机械,True
气垫带式输送机,A02051301,带式输送机械,True
磁垫带式输送机,A02051301,带式输送机械,True
钢带输送机,A02051301,带式输送机械,True
钢丝网带输送机,A02051301,带式输送机械,True
吊挂带式输送机,A02051301,带式输送机械,True
水平转弯带式输送机,A02051301,带式输送机械,True
可伸缩带式输送机,A02051301,带式输送机械,True
链牵引带式输送机,A02051301,带式输送机械,True
管状带式输送机,A02051301,带式输送机械,True
吊挂管状带式输送机,A02051301,带式输送机械,True
带式抛料机,A02051301,带式输送机械,True
气动输送机,A02051302,气动输送机,True
吸送式气力输送机,A02051302,气动输送机,True
压送式气力输送机,A02051302,气动输送机,True
混合式气力输送机,A02051302,气动输送机,True
容器式管道输送设备,A02051302,气动输送机,True
气力输送槽,A02051302,气动输送机,True
螺旋输送机,A02051303,螺旋输送机,True
固定螺旋输送机,A02051303,螺旋输送机,True
移动螺旋输送机,A02051303,螺旋输送机,True
特殊螺旋输送机,A02051303,螺旋输送机,True
刮板输送机,A02051304,刮板输送机,True
普通刮板输送机,A02051304,刮板输送机,True
可弯曲刮板输送机,A02051304,刮板输送机,True
普通型埋刮板输送机,A02051304,刮板输送机,True
埋刮板输送机,A02051305,埋刮板输送机,True
特殊型埋刮板输送机,A02051305,埋刮板输送机,True
板式输送机,A02051306,板式输送机,True
固定板式输送机,A02051306,板式输送机,True
移动板式输送机,A02051306,板式输送机,True
携带式板式输送机,A02051306,板式输送机,True
悬挂输送机,A02051307,悬挂输送机,True
推式悬挂输送机,A02051307,悬挂输送机,True
拖式悬挂输送机,A02051307,悬挂输送机,True
电动单轨小车悬挂输送机,A02051307,悬挂输送机,True
牵引链输送机械,A02051308,牵引链输送机械,True
链式输送机,A02051308,牵引链输送机械,True
链式小车输送机,A02051308,牵引链输送机械,True
斗式提升输送机,A02051309,斗式提升输送机,True
垂直斗式提升机,A02051309,斗式提升输送机,True
倾斜斗式提升机,A02051309,斗式提升输送机,True
内斗式提升机,A02051309,斗式提升输送机,True
液力输送机,A02051310,液力输送机,True
振动输送机,A02051311,振动输送机,True
惯性振动输送机,A02051311,振动输送机,True
偏心连杆振动输送机,A02051311,振动输送机,True
电磁式振动输送机,A02051311,振动输送机,True
辊子输送机,A02051312,辊子输送机,True
无动力式辊子输送机,A02051312,辊子输送机,True
动力式辊子输送机,A02051312,辊子输送机,True
升运机,A02051313,升运机,True
施工升降机,A02210300,工程起重机械,True
升降台(车),A02051313,升运机,True
料斗升降机,A02051313,升运机,True
架空索道输送设备,A02051314,架空索道输送设备,True
货运架空索道,A02051314,架空索道输送设备,True
客运架空索道,A02051314,架空索道输送设备,True
机场输送设备,A02051315,机场输送设备,True
旅客登机桥,A02051315,机场输送设备,True
机场用行李运输机械,A02051315,机场输送设备,True
机场用行李装卸机械,A02051315,机场输送设备,True
集装箱,C15090000,装卸搬运服务,True
集装箱输送设备,A02051317,集装箱输送设备,True
输送管道,A02051318,输送管道,True
输水管道,A02051318,输送管道,True
输尾矿管道,A02051318,输送管道,True
管道输送设施入此,A02051318,输送管道,True
斜坡绞车,A02051319,斜坡绞车,True
其他输送设备,A02051399,其他输送设备,True
圆盘给料机,A02051400,给料设备,True
板式给料机,A02051400,给料设备,True
刮板给料机,A02051400,给料设备,True
埋刮板给料机,A02051400,给料设备,True
鳞板给料机,A02051400,给料设备,True
叶轮给料机,A02051400,给料设备,True
螺旋给料机,A02051400,给料设备,True
带式给料机,A02051400,给料设备,True
转动滚子给料机,A02051400,给料设备,True
耙式给料机,A02051400,给料设备,True
链式给料机,A02051400,给料设备,True
振动给料机,A02051400,给料设备,True
摆式给料机,A02051400,给料设备,True
重力式给料机,A02051400,给料设备,True
搅拌给料机,A02051400,给料设备,True
往复式给料机,A02051400,给料设备,True
装卸设备,A02051500,装卸设备,True
堆取机械,A02051501,堆取机械,True
斗轮式堆取机械,A02051501,堆取机械,True
刮板式堆取机械,A02051501,堆取机械,True
装船机,A02051502,装船机,True
散状物料装船机,A02051502,装船机,True
成件物品装船机,A02051502,装船机,True
装车机,A02051503,装车机,True
散状物料装车机,A02051503,装车机,True
成件物品装车机,A02051503,装车机,True
卸船机,A02051504,卸船机,True
链斗卸船机,A02051504,卸船机,True
螺旋卸船机,A02051504,卸船机,True
气力卸船机,A02051504,卸船机,True
绳斗卸船机,A02051504,卸船机,True
斗轮卸船机,A02051504,卸船机,True
抓斗卸船机,A02051504,卸船机,True
刮板卸船机,A02051504,卸船机,True
夹带式卸船机,A02051504,卸船机,True
卸车机,A02051505,卸车机,True
链斗卸车机,A02051505,卸车机,True
螺旋卸车机,A02051505,卸车机,True
气力卸车机,A02051505,卸车机,True
惯性卸车机,A02051505,卸车机,True
翻车机,A02051506,翻车机,True
转筒式翻车机,A02051506,翻车机,True
侧卸式翻车机,A02051506,翻车机,True
端卸式翻车机,A02051506,翻车机,True
复合式翻车机,A02051506,翻车机,True
原料混匀机,A02051507,原料混匀机,True
其他装卸设备,A02051599,其他装卸设备,True
仓储设备,A02051600,仓储设备,True
立体仓库设备,A02051601,立体仓库设备,True
其他仓储设备,A02051699,其他仓储设备,True
堆垛机巷道转轨车,A02051699,其他仓储设备,True
分配车,A02051699,其他仓储设备,True
机械立体停车设备,A02051700,机械立体停车设备,True
无牵引气垫搬运装置,A02051800,气垫搬运装置,True
牵引式气垫搬运装置,A02051800,气垫搬运装置,True
离心泵,A02051901,离心泵,True
清水离心泵,A02051901,离心泵,True
耐腐蚀离心泵,A02051901,离心泵,True
离心油泵,A02051901,离心泵,True
船舶用离心泵,A02051901,离心泵,True
污水泵,A02051901,离心泵,True
带悬浮颗粒的杂质泵,A02051901,离心泵,True
离心式低温液体泵,A02051901,离心泵,True
潜没式泵,A02051901,离心泵,True
混流泵,A02051902,混流泵,True
涡壳式混流泵,A02051902,混流泵,True
导叶式混流泵,A02051902,混流泵,True
轴流泵,A02051903,轴流泵,True
卧式轴流泵,A02051903,轴流泵,True
立式轴流泵,A02051903,轴流泵,True
斜式轴流泵,A02051903,轴流泵,True
贯流泵,A02051903,轴流泵,True
往复泵,A02051904,往复泵,True
机动往复清水(油)泵,A02051904,往复泵,True
机动往复化工泵,A02051904,往复泵,True
机动往复杂质泵,A02051904,往复泵,True
机动往复上充泵,A02051904,往复泵,True
机动往复注水泵,A02051904,往复泵,True
机动往复增压泵,A02051904,往复泵,True
